No,Bulan,Bintang 5,Bintang 4,Bintang 3,Bintang 2,Bintang 1,Melati 3,Melati 2,Melati 1,Losmen
1,Januari,10090687120,11946833757,2112992152,5483442075,99539567,2764219034,709964152,678925117,417132767
2,Februari,6487081967,6494994423,1238528177,3198293766,81139231,1826602131,503365608,451841333,402573613
3,Maret,5965363961,6855917664,1183728438,3541298644,59277934,1741801495,543310626,430979816,416611695
4,April,6842785960,8191107343,1477018282,4063414803,72546405,1919441594,560576094,467442273,451542935
5,Mei,6455421232,9216583355,1486883267,3818511790,100281383,1968508531,569884838,454627136,425551469
6,Juni,4268041347,7535218226,1065117024,3197500541,73171502,1519364978,459147035,341867418,385863881
7,Juli,7249165805,7388223098,1377129303,3490826877,45680101,1902773459,576444935,474790393,459765744
8,Agustus,7968251293,10230221119,1694608914,4444130865,194404092,2096406750,609038256,473230329,426738799
9,September,7043077928,8982972769,1642746198,4169850519,101131887,1857899626,581314743,482811958,421718304
10,Oktober,7242451785,9468970760,1539867694,3884870232,63457718,1845945153,518853995,502094801,434637206
11,November,7069822135,11313348273,1593892764,3946743880,117144267,1795321529,555920009,476058725,442013504
12,Desember,7644247549,10899337817,1738155142,4550013572,109585997,2000125693,587993796,487410991,428040479
